歌单名称,播放量,歌单链接,用户名称,用户链接
流汗吧健身少女,493万,https://music.163.com/#/playlist?id=2876709606,YEEMANLIAO,https://music.163.com/#/user/home?id=262239497
超炸Rap｜超酷Flow致命节奏,490万,https://music.163.com/#/playlist?id=2867555737,oreo灵,https://music.163.com/#/user/home?id=412695330
运动健身音乐 (动感跑步）燃脂持续爆发,488万,https://music.163.com/#/playlist?id=2756801164,贝贝Beiben,https://music.163.com/#/user/home?id=1647970651
「俄式」都是初入人间，硬气点！,485万,https://music.163.com/#/playlist?id=3116750433,贵曌高定文创,https://music.163.com/#/user/home?id=599328981
精神氮泵，举铁专用,483万,https://music.163.com/#/playlist?id=100073961,李桥在路上,https://music.163.com/#/user/home?id=50623788
美式篮球健身（trap+R&B）,482万,https://music.163.com/#/playlist?id=2876609741,v文轩,https://music.163.com/#/user/home?id=1493983885
【节奏控】健身房燃脂必备歌单,480万,https://music.163.com/#/playlist?id=2975756428,梦一夜i,https://music.163.com/#/user/home?id=286878246
【电音】慎入！健身专用┃抖腿腿粗！,478万,https://music.163.com/#/playlist?id=459934559,郑元子大仙,https://music.163.com/#/user/home?id=317795994
『欧美风』节奏感｜运动｜醒脑｜耳孕专用,475万,https://music.163.com/#/playlist?id=2151381888,Cceciliao,https://music.163.com/#/user/home?id=115121362
Future Bass • 享受怦然心动的最佳魅力,473万,https://music.163.com/#/playlist?id=2319989927,音凛酱,https://music.163.com/#/user/home?id=1520598158
自律使人美丽 运动是最好的化妆品,466万,https://music.163.com/#/playlist?id=2477437664,mayuko然,https://music.163.com/#/user/home?id=129593031
节奏感超强の跑步歌曲库,462万,https://music.163.com/#/playlist?id=615014715,--苏麻离青--,https://music.163.com/#/user/home?id=93983257
健身锻炼运动曲目②持久跳绳节奏鼓点,452万,https://music.163.com/#/playlist?id=107406281,一二三四七,https://music.163.com/#/user/home?id=65486431
快乐跑步 | 乐趣加倍 跑步不累,451万,https://music.163.com/#/playlist?id=6687773920,云音乐官方歌单,https://music.163.com/#/user/home?id=1463586082
自律的人听得自律的歌,451万,https://music.163.com/#/playlist?id=2970605426,小杜爱吃饭-,https://music.163.com/#/user/home?id=1527779674
久一小姐姐的跳绳歌单,450万,https://music.163.com/#/playlist?id=5035372434,久一小姐姐,https://music.163.com/#/user/home?id=1667760322
一听就有力量的歌,449万,https://music.163.com/#/playlist?id=511149036,by冠希哥,https://music.163.com/#/user/home?id=348375361
最有节奏感的跑步歌曲,449万,https://music.163.com/#/playlist?id=117883952,Jobin_Z,https://music.163.com/#/user/home?id=99183821
jus' running -个人10km/h 跑步歌单,446万,https://music.163.com/#/playlist?id=52122458,seven-down,https://music.163.com/#/user/home?id=44090838
Pamela Reif魔鬼帕梅拉运动歌单,445万,https://music.163.com/#/playlist?id=4868077435,真草莓味鸡胸肉,https://music.163.com/#/user/home?id=281001682
当炸裂beat配上炸裂说唱flow,441万,https://music.163.com/#/playlist?id=2755687592,多写loop容易秃头,https://music.163.com/#/user/home?id=561362091
hip-hop酒吧里放的特别拽的歌曲$,436万,https://music.163.com/#/playlist?id=2688991686,2-5R,https://music.163.com/#/user/home?id=438047742
【兴奋 运动】鸡血专用,436万,https://music.163.com/#/playlist?id=511670662,Nianmj,https://music.163.com/#/user/home?id=249649641
打篮球必备，让人热血沸腾《NBA2K歌单》,431万,https://music.163.com/#/playlist?id=922615302,天才百慕,https://music.163.com/#/user/home?id=593370058
【节奏控】运动、健身、舞蹈必备动感歌曲,427万,https://music.163.com/#/playlist?id=362536147,-是盐还是雪-,https://music.163.com/#/user/home?id=89009783
私人电音精选 ,419万,https://music.163.com/#/playlist?id=2004862555,变辣妹,https://music.163.com/#/user/home?id=427264013
【keep】 跑步运动歌单,418万,https://music.163.com/#/playlist?id=811427790,Pink_g00,https://music.163.com/#/user/home?id=82144272
“网易云心动模式”,417万,https://music.163.com/#/playlist?id=2670910645,浪漫指挥観,https://music.163.com/#/user/home?id=1765451914
「踩点」剪辑必备 前方高能 节奏感炸裂BGM,415万,https://music.163.com/#/playlist?id=4887161105,梁知秋至,https://music.163.com/#/user/home?id=398881470
运动 没爱上健身 因为你没听这歌单,410万,https://music.163.com/#/playlist?id=2520264000,艾总Music,https://music.163.com/#/user/home?id=111605398
在床上听的电音^_^,409万,https://music.163.com/#/playlist?id=804612792,Liangbi_,https://music.163.com/#/user/home?id=307722734
前奏秒杀一切好听到炸裂的英文歌,406万,https://music.163.com/#/playlist?id=2888076504,弄影到三山,https://music.163.com/#/user/home?id=1374388700
减肥！跑步歌单（中文）,406万,https://music.163.com/#/playlist?id=2734592415,巫巫渡,https://music.163.com/#/user/home?id=1801426726
有氧跑步|马拉松|180maf节奏心率跑,405万,https://music.163.com/#/playlist?id=311067453,拳小摆,https://music.163.com/#/user/home?id=249053106
设计师运动健身听这单,401万,https://music.163.com/#/playlist?id=636966679,无非建筑,https://music.163.com/#/user/home?id=359712350
每天一点轻电的跑步节奏,398万,https://music.163.com/#/playlist?id=93817702,小翰子,https://music.163.com/#/user/home?id=5190793
解放西 蹦迪 长沙PLAYHOUSE 炸,396万,https://music.163.com/#/playlist?id=2878418581,小霸王-m,https://music.163.com/#/user/home?id=1310823219
铁馆举铁有氧爆炸歌单Boom！！！,394万,https://music.163.com/#/playlist?id=97531568,常秋秋,https://music.163.com/#/user/home?id=73218808
精选万首大杂烩，听歌一个歌单就够了,393万,https://music.163.com/#/playlist?id=6743797989,藏了很久很久,https://music.163.com/#/user/home?id=333588245
戴上耳机，世界是你的 电音.Don't stop,391万,https://music.163.com/#/playlist?id=884732566,一条铲屎官,https://music.163.com/#/user/home?id=101073490
欧美节奏控：充足能量，运动不停,391万,https://music.163.com/#/playlist?id=2904364484,雨露xixi,https://music.163.com/#/user/home?id=1426915182
美妙史诗®震撼心灵,389万,https://music.163.com/#/playlist?id=741632836,Dchen____,https://music.163.com/#/user/home?id=379715741
2022世界杯 | 用音乐感受足球的热血澎湃,383万,https://music.163.com/#/playlist?id=7752276645,Justin爱吃水煮鱼,https://music.163.com/#/user/home?id=5088230961
【节奏控】｜健身歌单,381万,https://music.163.com/#/playlist?id=2623057239,STAGE-G,https://music.163.com/#/user/home?id=468438897
最经典最好听的喊麦【另类】,381万,https://music.163.com/#/playlist?id=2192742281,HumanBeing彡,https://music.163.com/#/user/home?id=467208667
（强硬派）耐力 爆发 力量 格斗训练战曲,374万,https://music.163.com/#/playlist?id=959251543,太岁_M390,https://music.163.com/#/user/home?id=327071072
私藏欧美运动健身20首,374万,https://music.163.com/#/playlist?id=969922270,程程-gxqlovecff,https://music.163.com/#/user/home?id=256970954
纯音乐（运动、学习、看书）,368万,https://music.163.com/#/playlist?id=466357345,帐号已注销,https://music.163.com/#/user/home?id=333730521
重低音电音DJ健身跑步歌单,366万,https://music.163.com/#/playlist?id=6652018336,平民百姓一枚,https://music.163.com/#/user/home?id=3273341182
跳绳专属带感节奏,363万,https://music.163.com/#/playlist?id=924219251,半亩院落,https://music.163.com/#/user/home?id=301126108
有氧运动 | 音乐是你跑步时最好的伙伴,359万,https://music.163.com/#/playlist?id=2257583873,云音乐VIP,https://music.163.com/#/user/home?id=1452176465
杨和苏KeyNG | 低调组合说唱巅峰合集,358万,https://music.163.com/#/playlist?id=2472511008,江叶南萧,https://music.163.com/#/user/home?id=325256022
英雄联盟语录|台词版「最全合集」,357万,https://music.163.com/#/playlist?id=2329262034,英雄联盟语录收集委员会会长,https://music.163.com/#/user/home?id=120945373
俄罗斯歌曲精选集,357万,https://music.163.com/#/playlist?id=950062695,AlKaM-AkBaR,https://music.163.com/#/user/home?id=105389478
『精神氮泵』超强EDM『Remix』,350万,https://music.163.com/#/playlist?id=2113978719,听歌的Wei,https://music.163.com/#/user/home?id=98883396
Workout | 动感节奏 燃脂必备,349万,https://music.163.com/#/playlist?id=6686195228,云音乐官方歌单,https://music.163.com/#/user/home?id=1463586082
「欧美」律动里沐浴阳光 朝气里感受青春,348万,https://music.163.com/#/playlist?id=485406552,约翰先生不喝酒,https://music.163.com/#/user/home?id=306811889
自律训练动感神曲,348万,https://music.163.com/#/playlist?id=6683781787,HINSONKACHOY财,https://music.163.com/#/user/home?id=385768830
超级温柔的英文歌单,347万,https://music.163.com/#/playlist?id=2671991768,提赋-_,https://music.163.com/#/user/home?id=419663378
德鲁大叔御用歌单,346万,https://music.163.com/#/playlist?id=2518817410,初见stan,https://music.163.com/#/user/home?id=537785165
中文跑步歌单动力节奏(非踩点,344万,https://music.163.com/#/playlist?id=2956565031,斑马斑马睡着了i,https://music.163.com/#/user/home?id=91376190
HIIT有氧训练【搏击操、动感单车、跑步】,343万,https://music.163.com/#/playlist?id=532353589,密斯特温,https://music.163.com/#/user/home?id=6943730
燃脂旋律&泵感节奏,342万,https://music.163.com/#/playlist?id=606042894,Sirius煜,https://music.163.com/#/user/home?id=63687695
【 强鼓点 & 节奏感 】,336万,https://music.163.com/#/playlist?id=105599644,我仁21号是队短,https://music.163.com/#/user/home?id=81639484
【强悍RAP】节奏爆炸 暴力街区,335万,https://music.163.com/#/playlist?id=325632726,奋力爬上山巅的山羊,https://music.163.com/#/user/home?id=253722098
高潮节奏感超强的踩点音乐,334万,https://music.163.com/#/playlist?id=2979480925,超可爱水滴,https://music.163.com/#/user/home?id=495937567
『走路带风』那些气场十分强大的歌曲,331万,https://music.163.com/#/playlist?id=2335937641,乘方零,https://music.163.com/#/user/home?id=407536037
【节奏控】那些超带感的音乐Ⅱ· 燃点,330万,https://music.163.com/#/playlist?id=328984968,原点FM,https://music.163.com/#/user/home?id=247176530
舞蹈/爵士舞热身-Warm Up,330万,https://music.163.com/#/playlist?id=165391327,琦子Yuki,https://music.163.com/#/user/home?id=130198671
耳机控_节奏控_欧美女声,325万,https://music.163.com/#/playlist?id=117476538,十年丶一刻i,https://music.163.com/#/user/home?id=19969120
【gym】带上你的耳塞 让我们深蹲到天亮,320万,https://music.163.com/#/playlist?id=437596535,-1k-,https://music.163.com/#/user/home?id=295135209
